Location,Document Name,User_Prompt_1,Expected_Answer_1,Expected_Pages_1,User_Prompt_2,Expected_Answer_2,Expected_Pages_2,User_Prompt_3,Expected_Answer_3,Expected_Pages_3
Data/Ireland/TCA_1977_Comp.pdf,"Taxes Consolidation Act, 1997",What deductions are made when assessing the income tax chargeable on a member of the clergy or minister of any religious denomination,"(a) any sums of money paid or expenses incurred by him or her
 wholly, exclusively and necessarily in the performance of
 his or her duty as a member of the clergy or minister of
 any religious denomination;
 (b) such part of the rent (not exceeding one-eighth), as the
 inspector by whom the assessment is made may allow,
 paid by him or her in respect of a dwelling house any part
 of which is used mainly and substantially for the purposes
 of his or her duty as a member of the clergy or minister
 of any religious denomination.",[1141],How does the Irish Taxes Consolidation Act in 1997 define business mileage?,"‘‘business mileage for a year of assessment’’, in relation to a person, means the total number of whole miles travelled in the year in the course of business use by that person of a car or cars in respect of which this section applies in relation to that person;",[163],How should I compute the profits on a trade which has been discontinued?,"(2) In computing the profits or gains of a trade which has been
 discontinued, any trading stock belonging to the trade at the discon
tinuance of the trade shall be valued in accordance with the following
 provisions:
 (a) in the case of any such trading stock—
 (i) which is sold, or is transferred for valuable consider
ation, to a person who carries on or intends to carry
 on a trade in the State, and
 (ii) the cost of which to such person on such sale or trans
fer may be deducted by such person as an expense
 in computing for any purpose of the Tax Acts the
 profits or gains of the trade carried on or intended
 to be carried on by such person,
 the value of such trading stock shall be taken to be the
 price paid for such trading stock on such sale or the value
 of the consideration given for such trading stock on such
 transfer, as the case may be;
 (b) in the case of any other such trading stock, the value of such
 other trading stock shall be taken to be the amount which
 it would have realised if it had been sold in the open
 market at the discontinuance of the trade.",137
Data/Ireland/TCA_FA2023_Intro.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Introduction",How do I know the particular provisions present in each section of the notes on Taxes Consolidation Act 199 as of 2023?,"Each chapter in the notes is preceded by a brief overview of the provisions therin, and each section also has an overfiew of the provisions inside it. ",[1],What do the notes in the margin mean in the Taxes Consolidation act 1997 (2023)?,The marginal notes idenditify the guidance on particular subsections of the section being addresses at that point in the notes. Where necessary these notations are expanded to give paragraph and subparagraph and other references.,[1],What is the objective of the notes on Taxes Consolidation Act 1997 as ammended up to the Finance Acts 2023?,"The objective of the notes is to provide a comprehensive section by section commentary 
on the provisions of the Taxes Consolidation Act 1997, as amended by subsequent Acts 
up to and including the Finance Acts 2023.  ",[1]
Data/Ireland/TCA_FA2023_P1.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 1: Interpretation and Basic Charging Provisions",Which four streams of legeslation make up the TCA 1977?,"the Capital Gains Tax Acts (which consist of the provisions relating to capital gains tax in the TCA 1997 and any other Act), the Corporation Tax Acts (which consist of the provisions relating to corporation tax in the TCA 1997 and any other Act), the Income Tax Acts (which consist of the provisions relating to income tax in the TCA 1997 and any other Act), and the Tax Acts (which consists of the Income Tax Acts and the Corporation Tax Acts).",[2],"How does the TCA 1977 define ""appropriate insepctor""?","“appropriate inspector” is defined in relation to a person to include the inspector or 
Revenue officer who usually deals with the person’s tax affairs or who is the inspector 
or Revenue officer in charge of the Revenue district or branch dealing with the tax 
affairs of persons located in the city or county in which the person is located.",[3],How does TCA 1977 define ownership?,Owneship can consist of direct and indirect ownership where indirect ownership means through an intermediary company or companies while ownership in general is deined as beneficial ownership,12
Data/Ireland/TCA_FA2023_P2.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 2: Charge to Tax",How are income sources chargeble to tax under Schedule D classified?,"The income sources chargeable to tax under Schedule D are classified into 5 cases. Case I charges tax in respect of any trade and in respect of profits/gains arising out of lands, etc used for quarrying, mining, waterworks, docks, fishing, tolls, ferries, fairs, markets, etc. Case II charges tax in respect of any profession not contained in any other Schedule. Case III charges tax on — • interest, annuities and other annual payments, excluding any payment chargeable under Case V (in effect the Case III charge only arises where the interest, annuity or other annual payment is not liable to Irish tax at source); • profits from discount transactions (a discount arises on the purchase/sale of Government stock, promissory notes, bills of exchange, and the Case III charge arises on the difference between the cost of the instrument and the amount realised (3) (1)1 (1)1(a)(i) (1)1(a)(ii) (1)1(a)(iii) (1)1(a)(iv) (1)1(b) (1)1 (1)2 (2) 6 Notes for Guidance – Taxes Consolidation Act 1997 – Finance Act 2023 Edition - Part 2 on sale or maturity. Certain discounts are exempt from tax – see sections 45, 46 and 48. Discounts received or given in the ordinary course of trade are not included in the Case III charge); • interest on Government stocks, excluding interest on such stocks charged under Schedule C; • interest on any securities issued, or deemed within the meaning of section 36 to be issued, under the authority of the Minister for Finance, in cases where such interest is paid without deduction of tax (for example, Irish Government stocks issued under the authority of the Minister for Finance and stocks of semi-State companies); • interest from foreign securities, excluding interest on such securities charged under Schedule C; and • income from foreign possessions (for example, income from a foreign employment and profits from businesses carried on wholly abroad. In the case of a foreign employment, the Case III charge does not include earnings (including any amount in the form of expenses payments received or benefits-in-kind derived) from the employment to the extent that those earnings are attributable to the performance in the State of the duties of the employment. Such earnings are, by virtue of paragraph 2 of Schedule D and paragraph 3 of Schedule E, chargeable to tax under Schedule E. The Case III charge on interest from foreign securities and income from foreign possessions is modified in the case of non-domiciled persons and Irish citizens not ordinarily resident in the State so that the charge is confined to the sums actually remitted to the State (see section 71). It should also be noted that certain foreign pensions are exempt from the Case III charge where the pension would have been exempt from tax in the country of origin had the person receiving it continued to reside in that country (section 200). The Case III charge is extended by section 55 to gains on strips of securities where a Case I charge does not arise and by section 57 to benefits in kind received in respect of foreign employments Case IV charges tax in respect of any annual profits or gains not within any other Case of Schedule D and not charged by virtue of any other Schedule. Income, etc within the Case IV charge may be divided into 2 categories, namely, the miscellaneous income not within any other Case or Schedule and the income statutorily directed to be charged under Case IV. Income within the first category has been decided by case law. Examples include profits of a casual nature, profits from hire of moveable assets (for example, farmer hiring machinery for isolated jobs), letting of premises where landlord/tenant relationship does not exist (for example, halls for dances, meetings, etc), shipping fees, green fees, casual literary fees, certain copyright royalties. Instances where a Case IV charge has been imposed by statute include profits from unlawful activities (section 58), income from which tax is deducted at source (section 59), post-cessation receipts of a trade/profession (section 91), mining rents and gains from dealings in leases and conveyances (Chapter 8 of Part 4), DIRT interest (Chapter 3 of Part 8), certain balancing charges (Part 9), refunds of pension contributions and excessive commutation payments under pension schemes (Chapter 1 of Part 30), withdrawal of various tax reliefs (for example, BES/film relief, etc), various anti-avoidance provisions countering the transfer of assets abroad, conversion of income into capital and schemes connected with the payment of interest on loans (Part 33), maintenance payments (section 1025). 7 Notes for Guidance – Taxes Consolidation Act 1997 – Finance Act 2023 Edition - Part 2 Case V charges tax on rent in respect of land or premises in the State and on receipts for easements (that is, any right, privilege or benefit in, over or derived from any land or premises in the State such as the right to erect advertising boards).","[6,7,8]",How is tax under schedule E charged?,"Tax under Schedule E is charged in respect of every public office or employment of profit and in respect of every annuity, pension or stipend payable out of the public revenue of the State (apart from annuities charged under Schedule C). The tax is charged for every euro of the annual amount of the Schedule E source.",[8],What determines if a non-resident company is within the charge to corporate tax rate Ireland?,"A non-resident company is not within the charge to corporation tax unless it carries on a trade in the State through a branch or agency or is in receipt of rental income or gains from Irish property. Where a non-resident company so carries on a trade, the company is chargeable not only on trading income arising directly or indirectly through or from the branch or agency but also on any other income arising from property or rights used by or held by or for the branch or agency and on any chargeable gains attributable to the branch or agency.",[3]
Data/Ireland/TCA_FA2023_P3.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 3: Provisions relating to the schedule C charge and government and other public securities",Are dividends on securities of foreight territories payable in the state exampt from tax?,"Dividends on securities of foreign territories payable in the State are exempt from tax where the person owning and entitled to such dividends is not resident in the State. For this purpose, where such securities are held under any trust, a person is deemed to be the owner of the securities where the person is the sole beneficiary in possession under the trust and can obtain possession of the securities absolutely free from any trust.",[3],How is the issue of funding bonds to a creditor treated for tax purposes?,"The issue of funding bonds to a creditor in respect of any liability to pay interest on a debt is treated for tax purposes as if it were the payment of the amount of interest equal to the value of the bond at the time of issue. As a corollary, the redemption of the bond is not treated for tax purposes as a payment of interest.",[12],What does EEA Agreement mean?,EEA Agreement” means the Agreement on the European Economic Area signed in Oporto on 2 May 1992 as adjusted by the Protocol signed at Brussels on 17 March 1993,
Data/Ireland/TCA_FA2023_P4.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 4: Principal Provisions Relating to the Schedule D Charge",Who are the persons chargeable under Schedule D of the TCA 1977?,"Income tax under Schedule D is charged on and is paid by persons and bodies of persons receiving or entitled to the income in respect of which tax under that Schedule is directed to be charged by the Income Tax Acts. In particular, this provision ensures that the trustees of a settlement may be charged to income tax under Schedule D on any income which passes through their hands or on any income which they are entitled to but which they may not actually receive (it should be noted that, in practice, in some circumstances trustees may not be charged on income which they are entitled to receive provided some other person can be charged).  Cattle and Milk Dealers are also specially noted as being chargeabloe under Case 1 of schedule D.",[4],What are the clearing systems under schedule D of the TCA 1977?,"Clearing Systems were created in response to the need of the international securities
markets for a mechanism for the settlement of transactions. The systems include
settlement of transactions in internationally traded debt and equity securities to
“participants” who have entered into an agreement to participate in the systems. In
general, participants are banks, brokers, dealers and other institutions professionally
engaged in managing new issues of securities, market-making or trading, and
holding the wide variety of securities accepted in the Clearing System, either on
their own account or on behalf of client investors.",[10],How is income on commencement/discontinuance calculated?,"Where a company begins to trade or comes within the charge to corporation tax in respect of a trade, its income is to be computed as though the trade has begun at that point even though the trade was previously carried on by some other person. Similarly, where a company ceases to carry on a trade or to be within the charge to corporation tax in respect of a trade, the company’s income is computed as if the trade were discontinued at that point even though it may thereafter be carried on by someone else. This rule does not apply where there is specific provision that a trade is not to be treated as permanently discontinued. An example of such a case is that provided for in section 303(3) which secures, in relation to capital allowances for expenditure on dredging, that a balancing allowance is given only on the actual discontinuance of the trade involved as distinct from a change of ownership which for assessment purposes is treated as a permanent discontinuance.",[51]
Data/Ireland/TCA_FA2023_P4a.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 4a: Implementation of Council Directive (EU) 2022/2523 of 15 December 2022 on ensuring a global minimum level of taxation for multinational enterprise groups and large-scale domestic groups in the Union – Sections 111A-111AAAE",What is an ultimate parent entity?,"‘ultimate parent entity’ is: (a) an entity that owns, directly or indirectly, a controlling interest in any other entity and that is not owned, directly or indirectly, by another entity with a controlling interest in it, or (b) a main entity of a group as defined in paragraph (b) of the definition of ‘group’ in this section;",[13],How should the UTPR top-up tax amount of an MNE group allocated to a consitutent enity be calculated?,"The UTPR top-up tax amount of an MNE group allocated to a constituent entity for a fiscal year shall be calculated as: (1)(a) A x B where— A is the UTPR top-up tax amount of an MNE group allocated to the State for a fiscal year as determined in accordance with subsection (2), and B is the UTPR percentage in respect of the constituent entity for a fiscal year as determined in accordance with paragraph (b).",[23],What should a filing consituent enity do after making an election,"On the making of an election by a filing constituent entity, a constituent entity which holds an ownership interest other than a qualified ownership interest shall: (2) • include in its qualifying income or loss the accounting gain, profit, or loss, adjusted as required by section 111P other than subsection 2(c) of that section (which relates to excluded equity gains or losses), with respect to any: (i) fair value gains and losses and impairments on that ownership interest, where the owner is taxable on a mark-to-market basis or on the impairment on the ownership interest, and the tax consequences of the mark-to-market movements or impairments on ownership interest are reflected in income tax expense, (ii) fair value gains and losses and impairments on that ownership interest, where the owner is taxable on a realisation basis and its income tax expense includes deferred tax expense on the mark-tomarket movement or impairments on the ownership interest, (iii) profit and loss attributable to that ownership interest, where the interest is in a tax transparent entity and the owner accounts for the interest using the equity method, or (iv) dispositions of that ownership interest which give rise to gains or losses that are included in the owner’s domestic taxable income, excluding any gain fully offset, and the proportionate share of any gain partially offset, by any deduction or other similar relief on that gain, and • notwithstanding section 111U(3)(a) (relating to adjustments to current taxes for taxes on excluded income) and section 111X(5)(a) (relating to adjustments to deferred taxes for taxes on excluded income), include all current and deferred tax expenses in respect of the amounts referred to in paragraph (a) in the calculation of its adjusted covered taxes, subject to the provisions of this Part.","[44,45]"
Data/Ireland/TCA_FA2023_P5.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part5: Princial Provisions Relating to the Schedule E Charge",How should I interpret the cash equivalent of benefit of a car?,"The cash equivalent of the benefit of a car for a year of assessment is a flat rate of 30 per cent of the original market value of the car. (3)(a) Where a car is available to a person for part only of a year of assessment, the cash equivalent of the benefit is ascertained by apportionment on a time basis. This provision operates where a person — (3)(b) • first obtains the use of a company car during the course of a year, • ceases to have the use of a company car during the course of a year, or • changes cars during the course of a year. Example An employee has the private use of a company car on which the employer meets all the running expenses. At the start of the year the employee has the use of car A which costs €30,000. On 1 August in the year the employee changes to car B which costs €36,000. The employee is charged to tax for the full year in respect of the benefit derived from the private use of the cars as follows — Car A: €30,000 x 30% x 7/12 = €5,250 Car B: €36,000 x 30% x 5/12 = €4,500 €9,750",[21],When is charge to income tax on the conversion of convertible securites applied?,"There are four circumstances that give rise to a chargeable event. These are: (7) • the conversion of the employment-related securities into securities of another description, where the employee or director (or any other person who acquired the employment-related securities by reason of the employee’s or director’s office or employment) has a beneficial interest in those securities before the conversion occurs and in the securities into which they are converted, • the release of the entitlement to convert for consideration, where the employee or director (or any other person who acquired the employment-related securities by reason of the employee’s or director’s office or employment) has a beneficial interest in the securities, • the disposal for consideration of the employment-related securities by the employee or director (or any other person who acquired the employment-related securities by reason of the employee’s or director’s office or employment) while they are still convertible, and • the receipt of a benefit in money or money’s worth by the employee or director (or any other person who acquired the employment-related securities by reason of the employee’s or director’s office or employment) in connection with the entitlement to convert (for example, the receipt of compensation for the loss of the entitlement).",[52],If an employee recieves a free insurance policy do I have to pay tax on it?,"Where a an employee of a medical insurer, a tied health insurance agent or a party connected to either a medical insurer or a tied health insurance agent (or a person connected to that employee) receives a free insurance policy in the course of the employment of the employee, section 470(3) shall not apply to this policy. Section 470(3) relates to tax relief at source. This section has been dis-applied as: 1. No payment is made by the employer or the employee for the insurance, 2. As a result, no party is able to deduct and retain the relievable amount when paying for insurance. Instead, any emoluments for the purposes of section 112AA shall be deemed to be a payment made by the employee to which section 470(2) applies directly (notwithstanding that the deemed payment was made after the TRS provisions were introduced). This enables the employee to claim a credit equal to the relievable amount (20% of the policy value up to the first €1,000 for adults and €500 for children) where they receive an insurance policy for free, which is in line with the treatment of employees in other industries.",[7]
Data/Ireland/TCA_FA2023_P6.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 6: Company Distributions, Tax Credits, Franked
Investment Income and Advance Corporation
Tax",How do I determine the distributable income of a company for an accounting period?,"(R – S) + T R is the company’s total income chargeable to corporation tax for the accounting period (excluding corporation tax on chargeable gains) but including exempt income from stallion fees (section 231), income from commercial woodlands (section 232), income from greyhound fees (section 233), income from certain patent royalties (section 234) and Shannon exempt income (section 71 of the Corporation Tax Act, 1976). S is the company’s total corporation tax chargeable for the accounting period (excluding corporation tax on chargeable gains) after granting manufacturing relief (section 448), certain loss relief (paragraphs 16 and 18 of Schedule 32) and export Notes for Guidance – Taxes Consolidation Act 1997 – Finance Act 2023 Edition - Part 6 29 sales relief (section 58 of the Corporation Tax Act, 1976), but before any set off or credit for tax, including foreign tax. T is the total distributions received by the company in the accounting period, including distributions made out of: • exempt income from stallion fees, greyhound fees or commercial woodlands (section 140(3)), • disregarded income from certain patent royalties (section 141(3)), • exempted income of certain mines (section 142(4)), or • income from exempted trading operations within Shannon Airport (section 144(3)(a)).","[28,29]",Arte qualifying non-residents except from DWT?,"DWT does not apply, subject to outbound payments defensive measures contained in Chapter 5 of Part 33 of the Act, in respect of relevant distributions made by an Irish resident company to a qualifying non-resident person on or after 6 April, 2000.",[48],How do you determine if a person is an associate of another person in relation to a company?,"a husband and wife living together are associated with one another and a child under the age of 18 is associated with his/her parents (no other relatives are treated as associated); Notes for Guidance – Taxes Consolidation Act 1997 – Finance Act 2023 Edition - Part 6 89 • Two civil partners living together are associated with one another and a child under the age of 18 of a civil partner is associated with those civil partners (no other relatives are treated as associated); • a person who has control (see section 173) of a company and that company are associated; • 2 companies which are controlled by the same person are associates; • trustee shareholders (other than bare trustees) are associated with — - any person who directly or indirectly provided property to the trustees or who made reciprocal arrangements for some other person to do so; - the husband, wife or child of such a person; - any beneficiary who is or may become entitled to an interest in any shares worth more than 50 per cent of the value of the property in the trust (excluding property which that person can never have an interest); [In considering the effect of the association of a trustee with another person, any interest of the trustee in some other capacity (for example, as a personal interest or as trustee of another trust) is ignored.] • where shares in a company form part of a deceased person’s estate, personal representatives of the deceased shareholder are associated with any beneficiary who is or may become entitled to an interest in the shares worth more than 5 per cent of the value of the property comprised in the deceased’s estate; • a person who is accustomed to act on the direction of another person in relation to a company’s affairs is associated with that person in relation to that company. [This latter rule is not to be applied to the normal relationship between an employee and someone set over him/her in the company].",[89]
Data/Ireland/TCA_FA2023_P7.pdf,"Taxes Consolidation Act, 1997 (Finance Act 2023 Edition) Part 7: Income Tax and Corporation Tax Exemptions",Are military pensions and other allowances execmpt from income tax?,"This section exempts from income tax certain military pensions, gratuities and allowances. The section applies to — • army wound and disability pensions, • gratuities in respect of army wounds or disabilities, • demobilisation pay and gratuities paid to officers of the National Forces or the Defence Forces of Ireland, • deferred pay (within the meaning of any regulation under the Defence Act, 1954), and • gratuities granted in respect of service with the Defence Forces. Such income is ignored in computing the recipient’s total income for the purposes of the Income Tax Acts.",[45],What incomes for charieties are exempt from tax?,"This section exempts from income tax certain income arising to charities. A charity is defined as any body of persons or trust established for charitable purposes only. The sources of income to which the exemption applies are — (1) • income arising from lands, tenements or hereditaments which are owned and occupied by a charity and where the land, etc., is occupied for the purposes of quarrying, mining, etc., or of any of the other concerns set out in section 18(2), which would otherwise be taxed under Case I(b) of Schedule D, 2(a) • profits, which would otherwise be taxed under Case I or Case II of Schedule D, where the profits are applied solely for the purpose of the charity and either; 2(b) • the trade or profession is exercised in the course of the actual carrying out of the primary purpose of the charity or 2(b)(i) • the work in connection with the trade or profession is mainly carried on by beneficiaries of the charity. 2(b)(ii) Where the trading profits arise from a trade of farming carried on by a charity, those profits need not be applied solely for charitable purposes",[50],How and what taxes could a trade union be exempt from?,"A registered trade union which is precluded by statute or by its own rules from assuring to any person a sum exceeding €10,160, or €2,540 per year by way of annuity, is entitled to exemption from income tax under Schedules C, D and F in respect of interest and dividends which are applicable and applied solely for the purpose of provident benefits.",[55]
